mask     ok?       cycles      CM/MHz  passes
0x16e    pass      797301    1.332013  [dead_blocks,copy_prop,cse,narrow_loads,licm_const,unroll]
0x16f    pass      797301    1.332013  [fold_br,dead_blocks,copy_prop,cse,narrow_loads,licm_const,unroll]
0x24e    pass      796649    1.332022  [dead_blocks,copy_prop,cse,licm_const,leg_e]
0x24f    pass      796649    1.332022  [fold_br,dead_blocks,copy_prop,cse,licm_const,leg_e]
0x34e    pass      796649    1.332022  [dead_blocks,copy_prop,cse,licm_const,unroll,leg_e]
0x34f    pass      796649    1.332022  [fold_br,dead_blocks,copy_prop,cse,licm_const,unroll,leg_e]
0x44c    pass      794072    1.332088  [copy_prop,cse,licm_const,leg_f]
0x44d    pass      794072    1.332088  [fold_br,copy_prop,cse,licm_const,leg_f]
0x54c    pass      794072    1.332088  [copy_prop,cse,licm_const,unroll,leg_f]
0x54d    pass      794072    1.332088  [fold_br,copy_prop,cse,licm_const,unroll,leg_f]
0x44e    pass      794062    1.332105  [dead_blocks,copy_prop,cse,licm_const,leg_f]
0x44f    pass      794062    1.332105  [fold_br,dead_blocks,copy_prop,cse,licm_const,leg_f]
0x54e    pass      794062    1.332105  [dead_blocks,copy_prop,cse,licm_const,unroll,leg_f]
0x54f    pass      794062    1.332105  [fold_br,dead_blocks,copy_prop,cse,licm_const,unroll,leg_f]
0x064    pass      798038    1.332333  [copy_prop,narrow_loads,licm_const]
0x065    pass      798038    1.332333  [fold_br,copy_prop,narrow_loads,licm_const]
0x164    pass      798038    1.332333  [copy_prop,narrow_loads,licm_const,unroll]
0x165    pass      798038    1.332333  [fold_br,copy_prop,narrow_loads,licm_const,unroll]
0x066    pass      797892    1.332350  [dead_blocks,copy_prop,narrow_loads,licm_const]
0x067    pass      797892    1.332350  [fold_br,dead_blocks,copy_prop,narrow_loads,licm_const]
0x166    pass      797892    1.332350  [dead_blocks,copy_prop,narrow_loads,licm_const,unroll]
0x167    pass      797892    1.332350  [fold_br,dead_blocks,copy_prop,narrow_loads,licm_const,unroll]
0x420    pass      793193    1.335115  [narrow_loads,leg_f]
0x421    pass      793193    1.335115  [fold_br,narrow_loads,leg_f]
0x422    pass      793193    1.335115  [dead_blocks,narrow_loads,leg_f]
0x423    pass      793193    1.335115  [fold_br,dead_blocks,narrow_loads,leg_f]
